,id,link,titulo,precio,direction,superficie_total,superficie_util,superficie_terraza,ambientes,dormitorios,banos,estacionamientos,cant_max_habitantes,bodegas,gastos_comunes,orientacion,tipo_departamento,cantidad_pisos,departamentos_piso,numero_piso_unidad,codigo,fecha,published_time,latitude,longitude,comuna,published,divisa,region
0,1,https://www.portalinmobiliario.com/mlc-1321634082-edificio-av-departamental-vista-norte-piso-16-_jm#position=1&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio av. departamental- vista norte piso 16,400000.0,"av. departamental 900 - 1200, lo vial, san miguel",34.0,34.0,0.0,3,2,1,1,3,,40000.0,null,,23,13,16,459500,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.504288,-70.650536,San miguel,2023-02-10 17:56:38.667783,pesos,Rm (metropolitana)
1,2,https://www.portalinmobiliario.com/mlc-1321564083-edificio-garcia-reyes-vista-poniente-piso-5-_jm#position=2&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio garcía reyes- vista poniente piso 5,410000.0,"garcía reyes 1 - 300, barrio yungay, santiago",5438.0,52.0,2.0,3,2,1,1,3,1,140000.0,null,,5,24,5,329093,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.444885,-70.670891,Santiago,2023-02-10 17:56:38.667831,pesos,Rm (metropolitana)
2,3,https://www.portalinmobiliario.com/mlc-1321897983-edificio-arqueria-vista-norponiente-piso-3-_jm#position=3&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio arquería- vista norponiente piso 3,1950000.0,"arquería 1200 - 1500, rotonda atenas, las condes",190.0,140.0,50.0,5,4,2,2,7,1,400000.0,null,,7,4,3,458633,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.420437,-70.563446,Las condes,2023-02-10 17:56:38.667839,pesos,Rm (metropolitana)
3,4,https://www.portalinmobiliario.com/mlc-1318618638-edificio-borgetto-vista-norponiente-piso-1-_jm#position=4&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio borgetto- vista norponiente piso 1,305500.0,"radal 1200 - 1500, blanqueado, quinta normal",389.0,32.0,62.0,2,1,1,,2,,53000.0,null,,20,17,1,217301,2023-02-11 00:00:00.000000,publicado hace 4 días por assetplan chile,-33.43784,-70.7033,Quinta normal,2023-02-08 17:56:38.667845,pesos,Rm (metropolitana)
4,5,https://www.portalinmobiliario.com/mlc-1321526297-edificio-carmen-vista-sur-piso-2-_jm#position=5&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio carmen- vista sur piso 2,365000.0,"carmen 1 - 300, santa isabel, santiago",38.0,33.0,5.0,2,1,1,,2,1,45000.0,null,,9,22,2,458745,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.444862,-70.64299,Santiago,2023-02-10 17:56:38.667851,pesos,Rm (metropolitana)
5,6,https://www.portalinmobiliario.com/mlc-1321795211-edificio-lazo-vista-poniente-piso-14-_jm#position=6&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio lazo- vista poniente piso 14,350000.0,"lazo 1200 - 1500, lo vial, san miguel",33.0,30.0,3.0,2,1,1,,2,1,45000.0,null,,14,14,14,455018,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.49865,-70.661507,San miguel,2023-02-10 17:56:38.667857,pesos,Rm (metropolitana)
6,7,https://www.portalinmobiliario.com/mlc-1321520438-edificio-chacabuco-vista-poniente-piso-15-_jm#position=7&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio chacabuco- vista poniente piso 15,290000.0,"chacabuco 900 - 1200, parque los reyes, santiago",35.0,33.0,2.0,2,1,1,,2,,60000.0,null,,26,15,15,456475,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.432533,-70.679649,Santiago,2023-02-10 17:56:38.667862,pesos,Rm (metropolitana)
7,8,https://www.portalinmobiliario.com/mlc-1321795091-edificio-la-virgen-vista-norte-piso-4-_jm#position=8&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio la virgen- vista norte piso 4,529000.0,"la virgen 1 - 300, cerro blanco, recoleta",5539.0,50.0,443.0,3,2,2,1,4,1,75000.0,null,,14,7,4,447068,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.42498,-70.639374,Recoleta,2023-02-10 17:56:38.667867,pesos,Rm (metropolitana)
8,9,https://www.portalinmobiliario.com/mlc-1321564366-edificio-novena-avenida-vista-nororiente-piso-13-_jm#position=9&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio novena avenida- vista nororiente piso 13,500000.0,"novena avenida 1200 - 1500, ciudad del niño, san miguel",52.0,50.0,2.0,3,2,2,1,4,1,80000.0,null,,16,12,13,450430,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,,,San miguel,2023-02-10 17:56:38.667872,pesos,Rm (metropolitana)
9,10,https://www.portalinmobiliario.com/mlc-1321904096-edificio-lago-pirihueico-vista-poniente-piso-25-_jm#position=10&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio lago pirihueico- vista poniente piso 25,460000.0,"lago pirihueico 6300 - 6600, plaza vespucio, la florida",54.0,47.0,7.0,3,2,2,1,4,1,65000.0,null,,26,10,25,458596,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.513954,-70.59256,La florida,2023-02-10 17:56:38.667877,pesos,Rm (metropolitana)
